,Body ID,Headline,Stance
40,4319,আরেক রেকর্ড কোহ,agree
41,3181,ডায়াবেট তাড়া লিকুইড ডায়েট,unrelated
42,692,সোনমআহুজা বি,unrelated
43,2815,এসো হ বিশ্বকাপ,agree
44,310,পুঠিয়া রাজবাড়ি একবেলা,agree
45,1352,রা অবস্থান ছেড় আন্দোলন চালানো ঘোষণাকারী,unrelated
46,2380,নাশক মামলা: আপিল বিভাগ খালেদা জামিন শুনানি চল,agree
47,436,এটুআ কিশো বাতায়ন কানেক্ট প্রতিবন্ধীবান্ধব একসেসিব ডিকশনারি উদ্বোধন,agree
48,4083,অক্টোবর নির্বাচনকালীন সরকা গঠন সম্ভাব বেশি: ওবায়দুল কাদ,unrelated
49,4020,লক্ষ্যমাত্ চা রাজস্ব ঘাটতি ২৩ টাকা,unrelated
50,1245,পোস্ট নজ রাখ ১৫ ফেসবুক পুলিশ,agree
51,812,সতীর্থদ পাশ পাচ্ছ নেইমা,unrelated
52,126,বঙ্গবন্ধু নাম বিকৃতি করা বেরো ছাত্রলীগ তালা,unrelated
53,3491,মূল্যস্ফীতি ব্যাংক ঋণ সুদহা বাড়ব,agree
54,1092,রণবীর বিরুদ্ধ ক্ষতিপূরণ মামলা,unrelated
55,3673,পরিব সংকট সমাধান দা কু শিক্ষার্থীদ মানববন্ধন,agree
56,3105,মাদকাসক্তি তরুণ প্রজন্ম বাঁচা যোগব্যয়াম কার্যক মাধ্যম,unrelated
57,3793,ট্রাম্প ন্যাতানো নুডলস শোয়ার্জনেগা,agree
58,487,গাসিক নির্বাচন আপিল শুনানি চল,agree
59,1887,কাঠমান্ডু তদন্ সন্তুষ্ট ইউ বাংলা,unrelated
60,723,বেঙ্গল উচ্চাঙ্গ সংগীত উৎ,unrelated
61,4275,কাজ পরি উপভোগ্য উপা,unrelated
62,755,বাদল ফরাজী মুক্তি চা হাইকোর্ট রিট,agree
63,3261,বিশ্ববাজার দাঁড়া দাশ চলচ্চিত্ সক্ষম হবে: বাণিজ্যমন্ত্রী,unrelated
64,3958,সালাহ পার নকআউট দ্বারপ্রান্ রাশিয়া,agree
65,3431,নির্বাচন মাঠ ১৪ দল : মোহাম্মদ নাসিম,unrelated
66,1512,চরভদ্রাসন এক নারী ধর্ষণ শিকা,agree
67,4546,গ্রি ফ্যাশিবাদ দি বিক্ষোভ প্রবাসীদ বৈধ দা,agree
68,3003,রেললাইন পাশ বস্তি ঝুঁ বসবাস,unrelated
69,3991,ছ প্রস্তুতি প্রিয়াঙ্কা চোপড়া,agree
70,3329,মাগুরা ৯ আগস্ট জাতী পরিচয়পত্র স্মার্ট কার্ড বিতরণ,agree
71,1973,কারাগার নওয়াজ অসুস্থ হাসপাতাল ভর্তি পরামর্শ,unrelated
72,2826,ফ্ল্যাট ঋণ সুদ হা ৫ শতাংশ সুপারিশ,unrelated
73,339,শাকিবমিম প্রতিদ্বন্দ্ দাশ বিদাশ,unrelated
74,2392,স্ট্রোক রোগীদ জী বাঁচাব সেন্স প্যাচ,agree
75,4212,রা বিশ্ব সমাজকর্ম দিবস পালিত,unrelated
76,547,রাশিয়া বিশ্বকাপ কোয়ার্ ফাইনাল সূচি,agree
77,1328,ই প্রগতিশীল শিক্ষক সংগঠন শাপলা ফোরাম পুনর্মিলনী,unrelated
78,1663,সঞ্জু: দিন আ ৭৩,unrelated
79,42,আমৃত্যু কারাদণ্ডপ্রাপ্ত সাঈদী ডিভিশন রিট খারিজ,agree
80,2412,প্রথমার্ধ পর্তুগাল এ সমতা স্প,unrelated
81,2982,স্বর্ণ কেলেঙ্কারি ঘটনা গভর্নর পদত্যাগ উচিত: মওদুদ,unrelated
82,1285,ঢা ছাত্রলীগ সম্মেলন প্রধানমন্ত্রী পছন্দ মেধাবী ছাত্,agree
83,662,আর্জেন্টিনাক্রোয়েশিয়া ম্যাচ প্রথমার্ধ গোলশূন্য,agree
84,4549,কালাই বোড়াইধুনট কাঁচা সংযোগ রাস্ চলাচল অনুপযোগী,unrelated
85,387,নারায়ণগঞ্ ক্রিকেট টুর্নামেন্ট উদ্বোধন আশরাফুল,agree
86,2343,জাপান গণহত্ দিবস পালন,agree
87,3005,ঘনিষ্ঠ ভিডি দি প্রেমিকা ব্ল্যাকমেইল প্রেমি আত্মহত্,agree
88,1230,বাংলাদাশ স্বাস্থ্যখা বিনিয়োগ আগ্রহী অস্ট্র্রিয়া,unrelated
89,3772,সীতাকুণ্ড খাল ডুব ৪৮ ঘন্ ছাত্র লাশ উদ্ধা,unrelated
90,623,জ সাংবাদিকদ ছাত্রলীগ হামলা আ ১০,agree
91,2347,সিলাট কেন্দ্ দখল ফাঁকা,unrelated
92,55,এনবিআর বড় রদবদল,unrelated
93,448,চলতি মা গার্মেন্ট ১৮ টাকা মজুরি ঘোষণা দা,unrelated
94,3727,সদরঘাট দুদ অভি,unrelated
95,1545,তালা মাদক ব্যবসায়ী ছ মা কারাদণ্ড,unrelated
96,2391,মোবাইল ফোন বাড় ব্র ক্যান্সা ঝুঁ,agree
97,2666,জাপান কর্মক্ষম জনসংখ্ প্রবল ঘাটতি,agree
98,92,রাজীব পরি এক টাকা ক্ষতিপূরণ দেয়া নির্দেশ,unrelated
99,4452,আসামি ধর গণপিটু ভারতী পুলিশ নি,unrelated
100,1146,হজ এজেন্সি দুদ তৃতী দফা অভি,unrelated
101,302,আয়ারল্যান্ড আন্তর্জাতিক মাতৃভাষা দিবস পালিত,agree
102,1318,সেঞ্চুরি ফির তামিম ২০০ পেরোল বাংলাদেশ,unrelated
103,333,তুর্ উপকূল নৌকাডু শিশু নি ৬,unrelated
104,1658,মার্স চোট দায়ী রাশিয়া বিছানা: চিকিৎসক,agree
105,2362,পড়েনি হ আর্টিজান জঙ্গি,agree
106,1422,কো সংস্কা আন্দোলন ঢা শিক্ষক সমিতি সমর্থন,agree
107,3646,পাকুন্দিয়া জমি বিরোধ নি ১,agree
108,1868,একাদশ শ্রেণি ভর্তি মেধা ফল প্রকাশ,agree
109,2797,জয়পুরহাট তরিকুল হত্ মামলা তিন যাবজ্জী,unrelated
110,3061,নেপাল ওয়ার্কশপ নাম বাংলাদেশবিরোধী ষড়যন্ত্,agree
111,2787,জাপান ইনিয়েস্ উষ্ণ অভ্যর্থ,unrelated
112,973,লালন তিরোধান দি আখড়াবাড়ি রূপ নি মিলনমেলা,unrelated
113,3857,সৌ নি ৪ বাংলাদেশি লাশ ফেরত চা স্প ছাত্রলীগ,agree
114,3207,ভিয়েতনাম বি গাড়িট্রাক সংঘর্ষ নি ১৩,unrelated
115,3020,শা গেইট ছাত্রলীগ গ্রুপ সংঘর্ষ: শিক্ষার্থী গুলিবিদ্ধ,unrelated
116,3839,ইউক্র ২০০ মিলিয়ন ডলা সহা দিল যুক্তরাষ্ট্,unrelated
117,2740,জাতী দল ফির কপিল দেব,agree
118,1830,সুলতানপু নূরুল ইসলাম স্কুল সভাপতি ফরিদ,unrelated
119,3051,ডুমুরিয়া জামায়াতশিবির ১০ নেতাকর্মী আটক,agree
120,2366,কর্ম নি মা,unrelated
121,2211,কুকু মারা এক ব্যক্তি ৬ মা কারাদণ্ড,unrelated
122,899,জলবায়ু পরিবর্তন ঝুঁ বিবেচনা কৃষিপ্রযুক্তি উন্নয়ন ঘ,unrelated
123,2302,কম্বোডিয়া প্রশ্নবিদ্ধ নির্বাচন আসন ক্ষমতাসীন দল,unrelated
124,1610,নড়াইল দিনব্যাপী সুলতান উৎ,unrelated
125,3081,বাজাট প্রধানমন্ত্রী তামাকমুক্ত বাংলাদেশ গড়া নির্দেশ উপেক্ষিত: প্রজ্ঞা,unrelated
126,1555,বাস চাপা পা হারানো আলাউদ্দিন মৃত্যু,agree
127,3449,ভিলিয়ার্ অবস দক্ষিণ আফ্রিকা বড় ধাক্কা,unrelated
128,4543,অবশাষ সানি লিওন ক্ষমা চাই রাখি,unrelated
129,2661,বিএন চেয়ারপারসন উপদেষ্ সৈয়দ ওয়াহিদুল,agree
130,4063,সিঙ্গাপু এয়ারলাইন্ ব্যাং চুক্তি,agree
131,3520,জার বিশুদ্ধ পানি নাম খাচ্ছ,unrelated
132,4528,ভাল আ মাঠ ছাড় যা,agree
133,3334,বয়স এক সংখ্ : ধোনি,unrelated
134,522,শিক্ষা ছাড়া দাশ উন্নয়ন সম্ভব,agree
135,3325,দিল্লী অজ্ঞাত রোগ ৪০ গরু মৃত্যু,agree
136,628,কাশ্মীর জঙ্গি হামলা আধাসামরিক বাহিনী সদস্য নি,unrelated
137,2813,ফিল্ বিড়ি ও প্রস্তাবিত ২৫ শতাংশ ক প্রত্যাহা দা,agree
138,2390,কানাডা রোজা শুরু: প্রধানমন্ত্রী জাস্টিন শুভেচ্ছা,unrelated
139,1186,স্বাধীনতাবিরোধী চক্ কো সংস্কা আন্দোলন নাম ষড়যন্ত্,unrelated
140,716,খালেদা জিয়া বিরুদ্ধ আরো ২ গ্রেফতারি পরোয়া,agree
141,1532,খালেদা জিয়া দুনিয়া সরি দেয়া মহাচক্রান্ লিপ্ত সরকার: বিএন,unrelated
142,606,গণসংবর্ধ : সোহরাওয়ার্দী নেতাকর্মীদ ঢল,agree
143,4182,ম্যানসি চুক্তি মেয়াদ ২০২১ সাল বাড়া গার্দিওলা,unrelated
144,4159,দাশ মার ফেলা হবে: তসলিমা নাসরিন,agree
145,4551,২২ টাকা কৃষিঋণ বিতরণ লক্ষ্যমাত্,agree
146,3405,মার্স এলো টারবো কুলিং এ,agree
147,3488,বাংলাদাশ প্রবৃদ্ধি ৬ দশমিক ৭ ভাগ নাম আস,agree
148,2983,ইমরান ও হামলা : প্রতিবেদন দাখিল ৪ জুলা,unrelated
149,267,আইফোনআসক্তি ঠেকা বিনিয়োগকারীদ আহ্বান,agree
150,3495,তিন মামলা খালেদা জিয়া জামিন বিষ আদেশ,agree
151,3679,পাকা আম খা স্বাস্থ্য ক্ষতিক,agree
152,220,গাড়ি একটু স্মার্ট,agree
153,2379,ফারু হত্ মামলা প্রতিবেদন দাখিল ১৪ আগস্ট,unrelated
154,2313,ধূমপান ত্যাগ প্রয়ো প্রবল ইচ্ছাশক্তি,agree
155,1944,তিন দিনব্যাপী ডি সম্মেলন ২৪ জুলা,agree
156,1380,নির্বাচনী বছর অর্থনীতি ঝুঁ বাড়বে: সিপিডি,unrelated
157,3929,বয়স্কদ কল্যাণ নিশ্চি বহুপাক্ষিক অংশীদারিত্ব ভিত্তিক দৃষ্টিভঙ্গি গ্রহণ,agree
158,355,দাশ স্থান ভারী বর্ষণ,unrelated
159,2481,আমব দ্বীপ অগ্নুৎপাত : বাসিন্দাদ অন্যত্ সরি নেয়া নির্দেশ,agree
160,4455,রাজনীতি নারী নেতৃত্ব উন্নয়ন শীর্ষক কনফারেন্স,agree
161,3232,কামারখন্দ স্বেচ্ছাসেবক লীগ প্রতিষ্ঠাবার্ষি,agree
162,415,৭ বছর ৩ বিলিয়ন ডলা রেমিটেন্স স্ট্যান্ডার্ড এক্সপ্র,unrelated
163,1425,মাদক সংক্রান্ত অপরাধ বিচার পৃথক আদালত গঠন প্রস্তাব,agree
164,3163,‌‌মার্চ এলডি ডেভেলপিং কান্ট্রি উন্নীত বাংলাদেশ,agree
165,3437,মামলা প্রত্যাহার দা রা শিক্ষার্থীদ বিক্ষোভ,agree
166,857,আমিরা শ্রমবাজা পুরোপুরি,agree
167,4162,সৌ লোহাগাড়া যুব লাশ উদ্ধা,unrelated
168,1926,রাশিয়া ও অবরোধ চলবে: ট্রাম্প,unrelated
169,4440,আর্জেন্টিনা বিশ্বকাপ মিশন,agree
170,2941,কলেজছাত্রী এসিড নিক্ষাপ মামলা ৪ কারাদণ্ড,agree
171,1831,শিমুল বনে...,agree
172,544,বিদা মাহ রমজান,agree
173,2834,সরকারি হাসপাতাল বিনামূল্ চিকিত্সা পাব মুক্তিযোদ্ধা,unrelated
174,2270,লেটস লার্ন কোডিং ছাড় তথ্যপ্রযুক্তি কোর্স,agree
175,4045,রক্ত পরিষ্কা য খা,agree
176,4392,যুদ্ধাপরাধ: মৌলভীবাজার চা বিষ রা মঙ্গল,agree
177,750,রূপান্তরিত সামুদ্রিক ট বিমান পে পাকিস্তান নৌবাহিনী,unrelated
178,555,রূপকথা লেখা অপেক্ষা ক্রোয়েশিয়া,unrelated
179,2289,পদত্যাগ আরাস্তু খান ইসলামী ব্যাং চেয়ারম্ নাজমুল হাসান,unrelated
180,689,বাংলাদাশ মেয়াদ বিজ্ঞান অংক পড় : মাইক্রোসফট ব্যবস্থাপ পরিচালক,unrelated
181,2317,মোবাইল ব্যাংকিং : লেন,unrelated
182,3364,ঢাকা মেডিকাল ইয়াবা আনসা সদস্য গ্রেফ,agree
183,3859,প্রথমবার বিশ্বকাপ ফাইনাল ক্রোয়েশিয়া,unrelated
184,1240,গুঞ্ আনুষ্ঠানিক ঘোষণা দিবো,unrelated
185,1090,মণিরামপুর মাঠ যুব লাশ উদ্ধা,agree
186,303,শী স্বাস্থ্য সমস্,agree
187,3443,আওয়ামী লীগ মানুষ উন্নয়ন : রেলমন্ত্রী,unrelated
188,305,গাসিক নির্বাচন স্থগি বিরুদ্ধ ই আবেদন,agree
189,322,তথ্যপ্রযুক্তি উদ্ভাবন পঞ্চম বার মত ডব্লিউএসআ পুরস্কা প বাংলাদেশ,unrelated
190,1547,রবীন্দ্রসঙ্গীত শিল্পী সংস্থা কানাডা কমি,unrelated
191,4423,শাহজাহান খান পদত্যাগ চাই: ফখরুল,agree
192,4029,ও নিয়ন্ত্রণ শর্ সম্পূর্ণ বর্,unrelated
193,1652,নজরুল একাধিক তথ্যচিত্ প্রয়ো,unrelated
194,4001,কোমল পানী পান স্বাস্থ্য ঝুঁ,agree
195,4365,৩ দশক পূর্তি বি আইসি ফ্যামি ড উদযাপিত,agree
196,778,লাঞ্জিনি হারালো আর্জেন্,unrelated
197,1494,ইংল্যান্ড মাঠ নেম নবাগত পানামা,agree
198,1436,ঢাকেশ্বরী মন্দির সেবায়েত নিয়োগ প্রশ্ন রুল জারি,agree
199,3868,গ্রুপ চ্যাম্পিয়ন হ শেষ ষোলো ব্রাজিল,unrelated
200,2742,রোনালদো হ্যাটট্রিক স্পান ড্ করল পর্তুগাল,unrelated
201,214,দুদ জিজ্ঞাসা ডিআইজি মিজান,agree
202,1446,সেনাবাহিনী প্রধান জেনার ব্যাজ প্রদান,agree
203,3059,আর্জেন্ দল ইনজুরি মি,unrelated
204,3670,ভাঙ্গুড়া ট্রান ধাক্কা অজ্ঞাত যুব মৃত্যু,unrelated
205,308,কো স্ট্যাটাস: চ ২ শিক্ষক অবাঞ্ছিত ঘোষণা ছাত্রলীগ,agree
206,3317,তুরস্ক বাংলাদেশ দূতাবা বঙ্গবন্ধু জন্মবার্ষি জাতী শিশু দিবস উদযাপন,unrelated
207,4384,শেবাচিম এলাম এসোসিয়েশন অব নর্থ আমেরিকা নির্বাচন অনুষ্ঠিত,unrelated
208,3504,ক্যাম্পা গমনাগমণ নিষেধাজ্ঞা জারি হয়নি: ঢা কর্তৃপক্ষ,agree
209,2905,স্থগিত থাক খালেদা জিয়া জামিন,agree
210,1133,বাংলাদাশ উৎপাদিত আলু রপ্তানি বাড়,unrelated
211,3393,মিরপুর বাস চাপা বিইউ শিক্ষার্থী নি,agree
212,2688,জাতী অর্থনীতি মাছ গুরুত্বপূর্ণ অবদান রাখ,unrelated
213,3427,কাজ পরি উপভোগ্য উপা,agree
214,4128,রোহিঙ্গা নির্যাতনকারীদ দায়ীদ বিরুদ্ধ অবরোধ আরোপ আহ্বান,agree
215,4540,ঈদ জাহিদচঞ্চলতিশা ফেয়া প্ল,unrelated
216,271,বছ জিডি প্রবৃদ্ধি ৭.৬৫ শতাংশ,agree
217,1009,আইসি ফ্ অব দ্ উইক বছর বাংলাদেশি শিশু,agree
218,1953,অনি মিউজিক ভিডি প্রকাশ,agree
219,608,শপথ নি গাজীপুর মে জাহাঙ্গী,agree
220,3394,আফ্রিকা মোদি গরু কূটনীতি,unrelated
221,2324,কেমন খেলব আফ্রিকান,agree
222,956,বাংলাদাশ উন্নয়নশীল দাশ উত্তরণ উপলক্ষ এথেন্স চেম্বার সেমিনা,agree
223,1823,জিম্বাবু জাতী নির্বাচন দরকা,agree
224,167,গুগল ৫শ ডলা জরিমা ইইউ,agree
225,2443,সমর্থকদ কটুক্তি অবস নি ইরান ম,agree
226,3769,লাইটারেজ জাহাজ সংকট পণ্য পরিবহন অচলাবস্থা,agree
227,2497,খালেদা জামিন স্থগিত চা আবেদন হবে: অ্যাটর্নি জেনার,unrelated
228,2387,নেপাল বাণিজ্য মেলা প্রশংসিত ওয়ালটন,agree
229,2203,পুতিনট্রাম্প বলুক যুক্তরাষ্ট্র নির্বাচন রাশিয়া হাত,agree
230,1090,টেকনাফ পৃথক দুর্ঘটনা শিশু রোহিঙ্গা মৃত্যু,unrelated
231,4116,ফ্রান্ জাদুঘর মো লিসা নগ্ন মূর্তি,agree
232,841,ঢাকা আন্তর্জাতিক চলচ্চিত্ উৎ ১২ জানুয়ারি,agree
233,4541,বনশ্রী দ শরীফ অভি আটক ১১,unrelated
234,3953,কো সংস্কা আন্দোলন: পক্ষবিপক্ষ উত্তপ্ত শিক্ষাঙ্গন,agree
235,2657,জুলা মাস জুড় স্বাভাবিক বর্ষণ সম্ভাব,unrelated
236,1025,বঙ্গবন্ধু মেডিক সিএমএইচ সরকা অযথা বিতর্কিত : খালেদা জিয়া,agree
237,4436,নিসন্তান দম্পতিদ,unrelated
238,2513,আবদুল আলীম জন্মবার্ষি,unrelated
239,1699,মা ছাল বি দিচ্ছ মিঠুন চক্রবর্তী,agree
240,3784,সাত বছর হয়নি রোকেয়া স্টাডিজ কোর্স,unrelated
241,2540,প্রধান গোলরক্ষক রোমেরো হারালো আর্জেন্,agree
242,1363,সরকার চাপ ভোট গণমাধ্যম লেখেনি: আমি খসরু,unrelated
243,127,মোবাইল শরীর কত ক্ষতি,unrelated
244,4188,বাল স্প আসা বাস্তবসম্মত : পোচেত্তিনো,agree
245,138,জাপান তাপদাহ প্রাকৃতিক বিপর্য ঘোষণা মৃ সংখ্ বাড় ৬৫,agree
246,1624,ইতিহা মহানায়কদ ৭ দিন নাট্যোত্,agree
247,559,ও কম,agree
248,659,পোয়েট্রি আড্ডা আল নাহিয়ানআখতারুজ্জামান আজাদ,agree
249,1822,নিউইয়র্ হিন্ মন্দি শ্মশান প্রকল্প উদ্যোগ গ্রহণ,agree
250,4165,নিউইয়র্ বৃহত্ত লাকসাম ফাউন্ডেশন অভিষেক,agree
251,416,ধর্ষণ মামলা জামিন পা ভাঙ মিঠুনপুত্র বি,agree
252,4172,নওয়াজ শরীফ ডাক্তারদ পর্যবেক্ষণ থাক হবে: মেডিক বোর্ড,unrelated
253,179,প্রকৌশল শিল্পখা সম্ভাব লাগা সরকা সহা দাব : শিল্পমন্ত্রী,unrelated
254,3279,বিশিষ্ট ব্যক্তিদ অনুরোধ আন্দোলন স্থগিত শিক্ষ,agree
255,1714,ডিজিটাল জালিয়াতি ইভিএম ভোট গ্রহণ তোড়জোড়: বিএন,unrelated
256,1674,চৈত্রসংক্রান্তি কাল নববর্ষ,agree
257,345,কাঁচা আম উপকারি,agree
258,123,গোপালগঞ্ বেগম মমতাজ সালাম চিত্রাংকন প্রতিযোগি,agree
259,3890,চকলেট দি ম ভাস্কর্য,agree
260,1396,সৌদি আরব সড়ক দুর্ঘটনা বাংলাদেশি যুবক নি,agree
261,1911,প্রধানমন্ত্রী প্রবাসী এসএম ভ প রতনপু সরকারি বিদ্যাল,agree
262,2901,সাবেক মার্কিন প্রেসিডেন্ট সিনি বুশ চিকিৎসক হত্,agree
263,3098,ভারত কাঁচা মরিচ আমদানি,unrelated
264,3572,টিভি আজ খেলা,agree
265,1343,রফতানি পণ্য উৎ ক মওকু প্রস্তাব বিজিএম,agree
266,4261,নাগরিকত্ব আইন বড় ধরন পরিবর্তন এন পর্তুগাল,agree
267,3725,রাষ্ট্রায়ত্ত্ব ব্যাংক একীভূত লক্ষ্য,unrelated
268,2870,পাঁচ পেনাল্ ম করে ম্যারাডো,unrelated
269,1610,গ্রি বাংলাদেশি খা জনপ্রিয়করণ দূতাবা পাশ রেস্টুরেন্ট ব্যবসায়ী,agree
270,2047,শেভিং সমস্ দরকারি সমাধান,agree
271,440,পরীমণি হাসপাতাল,agree
272,778,ত্রিদেশী সিরি চ্যাম্পিয়ন পাকিস্তান,agree
273,792,বশেমুরবিপ্র বঙ্গবন্ধু মুক্তিযুদ্ধ চেতনা বিশ্বাসী শিক্ষক জোট জয়ী,unrelated
274,3250,টাইব্রেকার স্প বিদা শেষ আট রাশিয়া,agree
275,2193,হলিউড ছ প্রিয়াঙ্কা চোপড়া,unrelated
276,4355,প্রাণঘাতী হূদরোগ দায়ী জিন শনাক্ত,agree
277,3863,স্কুলছাত্রী উত্ত্যক্ত করা যুব কারাদণ্ড,agree
278,766,গ্রীষ্মকাল দরকারি খা,unrelated
279,2721,অর্থনৈতিক প্রবৃদ্ধি ধা দেশেবিদাশ প্রশংসিত : নানক,agree
280,2630,পুনর্বাসন বাড়ি খামা প্রকল্প অন্তর্ভুক্ত ভিক্ষু,agree
281,362,বিএফইউজ সভাপতি হ মোল্লা জালাল,agree
282,3958,ঈদ উপলক্ষ রাজধানী তিন স্তর নিরাপত্,unrelated
283,1803,রা আবাসিক খুল শনি,agree
284,1371,ইউরো ট্র আর্ট ট্যুর প্রীমা,agree
285,2450,ফাইনাল বাংলাদাশ মা,unrelated
286,2707,নারীবাদী নই: করি,unrelated
287,4082,চট্টগ্রাম বিশ্ববিদ্যাল এক ছাত্রলীগ কর্মী কুপি দুর্বৃত্ত,unrelated
288,2500,ঢোল বাদক মাশরাফি,agree
289,938,যুক্তরাষ্ট্র জিএস সুবিধা আশা : বাণিজ্যমন্ত্রী,unrelated
290,4038,বিএন নিজ মাইনাস করেছে: দীপু মনি,unrelated
291,1374,ফ্রান্সঅস্ট্রেলিয়া ম্যাচ প্রথমার্ধ গোলশূন্য,agree
292,3315,কার্বনডাইঅক্সাইড মিলব জ্বালানি,unrelated
293,2107,জনবসতিপূর্ণ অঞ্ ঢালা শিল্পাঞ্চল,agree
294,556,সংসদ নির্বাচন প্রস্তুতি বাড় তিন ভোটকেন্দ্,unrelated
295,189,সৌদি উদ্দাশ ঢাকা ছেড় হজ ফ্লাইট,unrelated
296,849,বিআর ঈদ স্পেশাল বা টিকিট বিক্রি ৫ জুন,agree
297,3855,দাশ প্রথমবার বিনামূল্ অনলাইন মানসিক,agree
298,4189,বছ রাজধানী জলাবদ্ধব,agree
299,4528,শাকিববুবলী রোমান্ মজ দর্শক,unrelated
300,279,তিন আন্তর্জাতিক চলচ্চিত্ উত্সব হালদা,agree
301,4104,অ্যান্ডারসন ঝামেলায় ফেলব কোহলিকে: ম্যাকগ্,unrelated
302,3273,টেকস উন্নয়ন লক্ষ্যমাত্ অর্জন প্রাতিষ্ঠানিক সক্ষম শীর্ষক কর্মশালা,unrelated
303,562,কো অান্দোলন ব্যর্থ হ বিএনপি মাহমুদু রহমান নাটক: ড. হাছান মাহমুদ,unrelated
304,14,এক ঝল মন কাড় ঐশ্বরিয়া,unrelated
305,1881,ভ কৃষ বাড়ি ট্রাম্পপূজা,agree
306,2185,খালেদা জিয়া ইউনাইটাড চিকিৎসা বিএনপি স্মারক,unrelated
307,774,কয়লা খনি ৪ শীর্ষ কর্মকর্ দেশ ছাড়া ও নিষেধাজ্ঞা,agree
308,1593,সাম্প্রদায়িক স্লোগান দেয়া যুক্তরাজ্য বিএন ক্ষমা চা আহ্বান,agree
309,2482,আওয়ামী লীগ মনোনয়ন বোর্ড সভা ২২ জুন,agree
310,4015,সাহিত্ মশাররফ হোসান অবদান অপরিসীম: সংস্কৃতিমন্ত্রী,agree
311,1588,চ্যাম্পিয়ন হ বিতর্ উইলিয়ান,agree
312,3635,পাকিস্তান সংসদ নির্বাচন তৃতী লিঙ্গ প্রার্থী,unrelated
313,155,জা আন্দোলনকারী শিক্ষকদ সপ্তাহব্যাপী কর্মসূচি ঘোষণা,agree
314,4227,রিয়াদ মহান স্বাধীন জাতী দিবস উদযাপন,unrelated
315,3926,কসমেটিক্ ভালোমন্দ,agree
